20190915 184336 1	6.774
20190915 210814	1	6.774
20190915 211837	1	6.774
20190915 211944	1	6.774
20190915 212321	1	6.774
20190915 212409	1	6.774
20190915 212432	1	9.764
20190915 212627	1	9.764
20190915 213612	1	9.764
20190915 213612	2	9.764
20190915 215131	1	9.764
20190915 215301	1	18.734
20190915 221756	1	31.468
20190915 222008	1	31.468
20190915 223028	1	47.202
20190915 223312	1	-15.734
20190915 223753	1	15.734
20190917 225948	1	15.734
20190917 225954	1	18.734
20190917 230036	1	15.734
20190917 230410	1	15.764
20190919 220344	1	7.269
20190919 220818	1	575.307
20190919 221115	1	9734.66
20190919 222007	1	61.75
20190919 222038	2	47.99
20190919 222928	1	244.77
